original_name,normalized_name,locality_symbol,match_method,source_rows
אורות,אורות,2012,normalized_unique_name,1
אורטל,אורטל,4013,normalized_unique_name,1
אורים,אורים,403,normalized_unique_name,1
אורנית,אורנית,3760,normalized_unique_name,6
אושה,אושה,278,normalized_unique_name,1
אזור,אזור,565,normalized_unique_name,13
אחווה,אחווה,1157,normalized_unique_name,1
אחוזם,אחוזם,821,normalized_unique_name,1
אחוזת ברק,אחוזת ברק,1330,normalized_unique_name,1
אחיהוד,אחיהוד,785,normalized_unique_name,1
אחיטוב,אחיטוב,850,normalized_unique_name,1
אחיסמך,אחיסמך,804,normalized_unique_name,1
אחיעזר,אחיעזר,797,normalized_unique_name,1
אטרש (שבט),אטרש שבט,965,normalized_unique_name,2
איבים,איבים,338,normalized_unique_name,1
אייל,אייל,716,normalized_unique_name,1
איילת השחר,איילת השחר,77,normalized_unique_name,2
אילון,אילון,294,normalized_unique_name,1
אילות,אילות,1126,normalized_unique_name,1
אילניה,אילניה,49,normalized_unique_name,1
אילת,אילת,2600,normalized_unique_name,71
איתמר,איתמר,3762,normalized_unique_name,1
איתן,איתן,37,normalized_unique_name,1
אכסאל,אכסאל,478,normalized_unique_name,9
אל-רום,אל-רום,4003,normalized_unique_name,1
אלומה,אלומה,1145,normalized_unique_name,1
אלומות,אלומות,330,normalized_unique_name,1
אלון הגליל,אלון הגליל,1182,normalized_unique_name,1
אלון מורה,אלון מורה,3579,normalized_unique_name,1
אלון שבות,אלון שבות,3604,normalized_unique_name,3
אלוני אבא,אלוני אבא,429,normalized_unique_name,1
אלוני הבשן,אלוני הבשן,4017,normalized_unique_name,1
אלוני יצחק,אלוני יצחק,868,normalized_unique_name,1
אלונים,אלונים,285,normalized_unique_name,1
אלי-עד,אלי-עד,4002,normalized_unique_name,1
אליכין,אליכין,41,normalized_unique_name,3
אליפלט,אליפלט,730,normalized_unique_name,1
אליקים,אליקים,682,normalized_unique_name,1
אלישיב,אלישיב,204,normalized_unique_name,1
אלישמע,אלישמע,841,normalized_unique_name,1
אלמגור,אלמגור,1125,normalized_unique_name,1
אלמוג,אלמוג,3556,normalized_unique_name,1
אלעד,אלעד,1309,normalized_unique_name,19
אלעזר,אלעזר,3618,normalized_unique_name,1
אלפי מנשה,אלפי מנשה,3750,normalized_unique_name,7
אלקוש,אלקוש,603,normalized_unique_name,1
אלקנה,אלקנה,3560,normalized_unique_name,3
אמונים,אמונים,772,normalized_unique_name,1
אמירים,אמירים,1064,normalized_unique_name,1
אמנון,אמנון,1253,normalized_unique_name,1
אמציה,אמציה,23,normalized_unique_name,1
אניעם,אניעם,4012,normalized_unique_name,1
אסד (שבט),אסד שבט,960,normalized_unique_name,1
אספר,אספר,3754,normalized_unique_name,1
אעבלין,אעבלין,529,normalized_unique_name,10
אעצם (שבט),אעצם שבט,963,normalized_unique_name,4
אפיק,אפיק,4301,normalized_unique_name,1
אפיקים,אפיקים,176,normalized_unique_name,2
אפק,אפק,313,normalized_unique_name,1
אפרתה,אפרתה,3650,normalized_unique_name,6
ארבל,ארבל,701,normalized_unique_name,1
ארגמן,ארגמן,3598,normalized_unique_name,1
ארז,ארז,714,normalized_unique_name,1
אריאל,אריאל,3570,normalized_unique_name,22
אשבול,אשבול,71,normalized_unique_name,1
אשדוד,אשדוד,70,normalized_unique_name,243
אשדות יעקב  (איחו,אשדות יעקב איחו,199,normalized_unique_name,1
אשדות יעקב  (מאוח,אשדות יעקב מאוח,188,normalized_unique_name,1
אשחר,אשחר,1188,normalized_unique_name,1
אשכולות,אשכולות,3722,normalized_unique_name,1
אשל הנשיא,אשל הנשיא,2021,normalized_unique_name,1
אשלים,אשלים,1152,normalized_unique_name,1
אשקלון,אשקלון,7100,normalized_unique_name,133
אשרת,אשרת,1256,normalized_unique_name,1
אשתאול,אשתאול,740,normalized_unique_name,1
באקה-ג'ת,באקה-ג ת,6000,normalized_unique_name,27
באר טוביה,באר טוביה,155,normalized_unique_name,1
באר יעקב,באר יעקב,2530,normalized_unique_name,8
באר שבע,באר שבע,9000,normalized_unique_name,242
בארות יצחק,בארות יצחק,450,normalized_unique_name,1
בארותיים,בארותיים,697,normalized_unique_name,1
בארי,בארי,399,normalized_unique_name,1
בוסתן הגליל,בוסתן הגליל,559,normalized_unique_name,1
בועיינה-נוג'ידאת,בועיינה-נוג ידאת,482,normalized_unique_name,6
בוקעאתא,בוקעאתא,4001,normalized_unique_name,1
בורגתה,בורגתה,698,normalized_unique_name,1
בחן,בחן,2043,normalized_unique_name,1
בטחה,בטחה,762,normalized_unique_name,1
ביצרון,ביצרון,234,normalized_unique_name,1
ביר אל-מכסור,ביר אל-מכסור,998,normalized_unique_name,6
ביריה,ביריה,368,normalized_unique_name,1
בית אורן,בית אורן,317,normalized_unique_name,1
בית אל,בית אל,3574,normalized_unique_name,5
בית אלעזרי,בית אלעזרי,562,normalized_unique_name,1
בית אלפא,בית אלפא,95,normalized_unique_name,1
בית אריה,בית אריה,3652,normalized_unique_name,4
בית ג'ן,בית ג ן,480,normalized_unique_name,8
בית גוברין,בית גוברין,619,normalized_unique_name,1
בית גמליאל,בית גמליאל,571,normalized_unique_name,1
בית דגן,בית דגן,466,normalized_unique_name,7
בית הגדי,בית הגדי,723,normalized_unique_name,1
בית הלוי,בית הלוי,373,normalized_unique_name,1
בית הלל,בית הלל,322,normalized_unique_name,1
בית העמק,בית העמק,572,normalized_unique_name,1
בית הערבה,בית הערבה,3645,normalized_unique_name,1
בית השיטה,בית השיטה,242,normalized_unique_name,2
בית זית,בית זית,710,normalized_unique_name,2
בית זרע,בית זרע,143,normalized_unique_name,1
בית חורון,בית חורון,3575,normalized_unique_name,1
בית חירות,בית חירות,877,normalized_unique_name,1
בית חלקיה,בית חלקיה,2033,normalized_unique_name,1
בית חנן,בית חנן,159,normalized_unique_name,1
בית חנניה,בית חנניה,800,normalized_unique_name,1
בית חשמונאי,בית חשמונאי,1050,normalized_unique_name,1
בית יהושע,בית יהושע,288,normalized_unique_name,1
בית יוסף,בית יוסף,265,normalized_unique_name,1
בית ינאי,בית ינאי,200,normalized_unique_name,1
בית יצחק-שער חפר,בית יצחק-שער חפר,326,normalized_unique_name,2
בית לחם הגלילית,בית לחם הגלילית,430,normalized_unique_name,1
בית מאיר,בית מאיר,751,normalized_unique_name,1
בית נחמיה,בית נחמיה,784,normalized_unique_name,1
בית ניר,בית ניר,16,normalized_unique_name,1
בית נקופה,בית נקופה,672,normalized_unique_name,1
בית עובד,בית עובד,202,normalized_unique_name,1
בית עוזיאל,בית עוזיאל,301,normalized_unique_name,1
בית עזרא,בית עזרא,756,normalized_unique_name,1
בית עריף,בית עריף,604,normalized_unique_name,1
בית קמה,בית קמה,598,normalized_unique_name,1
בית קשת,בית קשת,365,normalized_unique_name,1
בית רבן,בית רבן,848,normalized_unique_name,1
בית רימון,בית רימון,1162,normalized_unique_name,1
בית שאן,בית שאן,9200,normalized_unique_name,19
בית שמש,בית שמש,2610,normalized_unique_name,55
בית שערים,בית שערים,248,normalized_unique_name,1
בית שקמה,בית שקמה,747,normalized_unique_name,1
ביתן אהרן,ביתן אהרן,252,normalized_unique_name,1
ביתר עילית,ביתר עילית,3780,normalized_unique_name,16
בלפוריה,בלפוריה,94,normalized_unique_name,1
בן זכאי,בן זכאי,760,normalized_unique_name,1
בן עמי,בן עמי,712,normalized_unique_name,1
בן שמן (כפר נוער),בן שמן כפר נוער,1084,normalized_unique_name,1
בן שמן (מושב),בן שמן מושב,2013,normalized_unique_name,1
בני ברק,בני ברק,6100,normalized_unique_name,131
בני דרום,בני דרום,592,normalized_unique_name,1
בני דרור,בני דרור,386,normalized_unique_name,2
בני יהודה,בני יהודה,4015,normalized_unique_name,1
בני עטרות,בני עטרות,448,normalized_unique_name,1
"בני עי""ש",בני עי ש,1066,normalized_unique_name,10
בני ציון,בני ציון,418,normalized_unique_name,1
בני ראם,בני ראם,588,normalized_unique_name,1
בניה,בניה,685,normalized_unique_name,1
בנימינה-גבעת עדה,בנימינה-גבעת עדה,9800,normalized_unique_name,11
"בסמ""ה",בסמ ה,1326,normalized_unique_name,6
בסמת טבעון,בסמת טבעון,944,normalized_unique_name,6
בצרה,בצרה,389,normalized_unique_name,1
בצת,בצת,589,normalized_unique_name,1
בקוע,בקוע,864,normalized_unique_name,1
בקעות,בקעות,3612,normalized_unique_name,1
בר גיורא,בר גיורא,823,normalized_unique_name,1
בר יוחאי,בר יוחאי,1191,normalized_unique_name,1
ברור חיל,ברור חיל,428,normalized_unique_name,1
ברוש,ברוש,2060,normalized_unique_name,1
ברכה,ברכה,3710,normalized_unique_name,1
ברכיה,ברכיה,746,normalized_unique_name,1
ברעם,ברעם,667,normalized_unique_name,1
ברק,ברק,141,normalized_unique_name,1
ברקאי,ברקאי,617,normalized_unique_name,1
ברקן,ברקן,3654,normalized_unique_name,1
ברקת,ברקת,2038,normalized_unique_name,1
בת הדר,בת הדר,1323,normalized_unique_name,1
בת חפר,בת חפר,1319,normalized_unique_name,4
בת ים,בת ים,6200,normalized_unique_name,193
בת עין,בת עין,3794,normalized_unique_name,1
בת שלמה,בת שלמה,33,normalized_unique_name,1
ג'דיידה-מכר,ג דיידה-מכר,1292,normalized_unique_name,13
ג'ולס,ג ולס,485,normalized_unique_name,5
ג'לג'וליה,ג לג וליה,627,normalized_unique_name,5
ג'נאביב (שבט),ג נאביב שבט,976,normalized_unique_name,1
ג'סר א-זרקא,ג סר א-זרקא,541,normalized_unique_name,8
ג'ש (גוש חלב),ג ש גוש חלב,487,normalized_unique_name,3
גאולי תימן,גאולי תימן,872,normalized_unique_name,1
גאולים,גאולים,379,normalized_unique_name,1
גאליה,גאליה,853,normalized_unique_name,1
גבולות,גבולות,352,normalized_unique_name,1
גבים,גבים,424,normalized_unique_name,1
גבע,גבע,86,normalized_unique_name,1
גבע בנימין,גבע בנימין,3763,normalized_unique_name,2
גבע כרמל,גבע כרמל,683,normalized_unique_name,1
גבעולים,גבעולים,2014,normalized_unique_name,1
גבעון החדשה,גבעון החדשה,3644,normalized_unique_name,1
גבעת אבני,גבעת אבני,1293,normalized_unique_name,2
גבעת אלה,גבעת אלה,1288,normalized_unique_name,2
גבעת ברנר,גבעת ברנר,147,normalized_unique_name,2
גבעת השלושה,גבעת השלושה,870,normalized_unique_name,1
גבעת זאב,גבעת זאב,3730,normalized_unique_name,12
"גבעת ח""ן",גבעת ח ן,207,normalized_unique_name,1
גבעת חיים (איחוד),גבעת חיים איחוד,2018,normalized_unique_name,1
גבעת חיים (מאוחד),גבעת חיים מאוחד,173,normalized_unique_name,1
גבעת יואב,גבעת יואב,4021,normalized_unique_name,1
גבעת יערים,גבעת יערים,787,normalized_unique_name,1
גבעת ישעיהו,גבעת ישעיהו,919,normalized_unique_name,1
"גבעת כ""ח",גבעת כ ח,802,normalized_unique_name,1
"גבעת ניל""י",גבעת ניל י,360,normalized_unique_name,1
גבעת עוז,גבעת עוז,703,normalized_unique_name,1
גבעת שמואל,גבעת שמואל,681,normalized_unique_name,19
גבעת שפירא,גבעת שפירא,1077,normalized_unique_name,1
גבעתי,גבעתי,793,normalized_unique_name,1
גבעתיים,גבעתיים,6300,normalized_unique_name,68
גברעם,גברעם,342,normalized_unique_name,1
גבת,גבת,133,normalized_unique_name,1
גדות,גדות,35,normalized_unique_name,1
גדיש,גדיש,145,normalized_unique_name,1
גדעונה,גדעונה,442,normalized_unique_name,1
גדרה,גדרה,2550,normalized_unique_name,16
גונן,גונן,852,normalized_unique_name,1
גורן,גורן,755,normalized_unique_name,1
גורנות הגליל,גורנות הגליל,1219,normalized_unique_name,1
גזית,גזית,457,normalized_unique_name,1
גזר,גזר,370,normalized_unique_name,1
גיאה,גיאה,706,normalized_unique_name,1
גיבתון,גיבתון,196,normalized_unique_name,1
גיזו,גיזו,1043,normalized_unique_name,1
גילון,גילון,1204,normalized_unique_name,1
גילת,גילת,736,normalized_unique_name,1
גינוסר,גינוסר,262,normalized_unique_name,1
גיניגר,גיניגר,92,normalized_unique_name,1
גינתון,גינתון,863,normalized_unique_name,1
גיתה,גיתה,1206,normalized_unique_name,1
גיתית,גיתית,3613,normalized_unique_name,1
גלאון,גלאון,393,normalized_unique_name,1
גלגל,גלגל,3606,normalized_unique_name,1
גליל ים,גליל ים,346,normalized_unique_name,1
גלעד (אבן יצחק),גלעד אבן יצחק,369,normalized_unique_name,1
גמזו,גמזו,745,normalized_unique_name,1
גן הדרום,גן הדרום,1072,normalized_unique_name,1
גן השומרון,גן השומרון,225,normalized_unique_name,1
גן חיים,גן חיים,239,normalized_unique_name,1
גן יאשיה,גן יאשיה,734,normalized_unique_name,1
גן יבנה,גן יבנה,166,normalized_unique_name,12
גן נר,גן נר,1274,normalized_unique_name,2
גן שורק,גן שורק,311,normalized_unique_name,1
גן שלמה,גן שלמה,144,normalized_unique_name,1
גן שמואל,גן שמואל,72,normalized_unique_name,2
גנות,גנות,836,normalized_unique_name,1
גנות הדר,גנות הדר,549,normalized_unique_name,1
גני הדר,גני הדר,1103,normalized_unique_name,1
גני יוחנן,גני יוחנן,862,normalized_unique_name,1
גני עם,גני עם,218,normalized_unique_name,1
גני תקווה,גני תקווה,229,normalized_unique_name,15
געש,געש,842,normalized_unique_name,1
געתון,געתון,463,normalized_unique_name,1
גפן,גפן,39,normalized_unique_name,1
גרופית,גרופית,1129,normalized_unique_name,1
גשור,גשור,4022,normalized_unique_name,1
גשר,גשר,305,normalized_unique_name,1
גשר הזיו,גשר הזיו,574,normalized_unique_name,1
גת (קיבוץ),גת קיבוץ,340,normalized_unique_name,1
גת רימון,גת רימון,128,normalized_unique_name,1
דבורה,דבורה,146,normalized_unique_name,1
דבוריה,דבוריה,489,normalized_unique_name,6
דבירה,דבירה,849,normalized_unique_name,1
דברת,דברת,407,normalized_unique_name,1
דגניה א',דגניה א,62,normalized_unique_name,1
דגניה ב',דגניה ב,79,normalized_unique_name,1
"דוב""ב",דוב ב,1067,normalized_unique_name,1
דולב,דולב,3747,normalized_unique_name,1
דור,דור,738,normalized_unique_name,1
דורות,דורות,336,normalized_unique_name,1
דחי,דחי,475,normalized_unique_name,1
דייר חנא,דייר חנא,492,normalized_unique_name,7
דימונה,דימונה,2200,normalized_unique_name,44
דישון,דישון,2063,normalized_unique_name,1
דליה,דליה,300,normalized_unique_name,1
דלתון,דלתון,431,normalized_unique_name,1
דמיידה,דמיידה,1317,normalized_unique_name,1
דן,דן,303,normalized_unique_name,1
דפנה,דפנה,302,normalized_unique_name,1
דקל,דקל,1241,normalized_unique_name,1
דריג'את,דריג את,1349,normalized_unique_name,1
האון,האון,702,normalized_unique_name,1
הבונים,הבונים,675,normalized_unique_name,1
הגושרים,הגושרים,356,normalized_unique_name,1
הדר עם,הדר עם,191,normalized_unique_name,1
הוד השרון,הוד השרון,9700,normalized_unique_name,49
הודיה,הודיה,726,normalized_unique_name,1
הוואשלה (שבט),הוואשלה שבט,1169,normalized_unique_name,2
הוזייל (שבט),הוזייל שבט,956,normalized_unique_name,2
הושעיה,הושעיה,1186,normalized_unique_name,1
הזורע,הזורע,250,normalized_unique_name,1
הזורעים,הזורעים,307,normalized_unique_name,1
החותרים,החותרים,434,normalized_unique_name,1
היוגב,היוגב,684,normalized_unique_name,1
הילה,הילה,1208,normalized_unique_name,1
המעפיל,המעפיל,377,normalized_unique_name,1
הסוללים,הסוללים,677,normalized_unique_name,1
העוגן,העוגן,423,normalized_unique_name,1
הר אדר,הר אדר,3769,normalized_unique_name,3
הר גילה,הר גילה,3603,normalized_unique_name,1
הראל,הראל,464,normalized_unique_name,1
הרדוף,הרדוף,1249,normalized_unique_name,1
הרצליה,הרצליה,6400,normalized_unique_name,112
הררית,הררית,1203,normalized_unique_name,1
ורד יריחו,ורד יריחו,3639,normalized_unique_name,1
ורדון,ורדון,1133,normalized_unique_name,1
זבדיאל,זבדיאל,815,normalized_unique_name,1
זוהר,זוהר,44,normalized_unique_name,1
זיקים,זיקים,584,normalized_unique_name,1
זיתן,זיתן,788,normalized_unique_name,1
זכרון יעקב,זכרון יעקב,9300,normalized_unique_name,17
זכריה,זכריה,799,normalized_unique_name,1
זמר,זמר,1290,normalized_unique_name,5
זמרת,זמרת,1065,normalized_unique_name,1
זנוח,זנוח,816,normalized_unique_name,1
זרועה,זרועה,2064,normalized_unique_name,1
זרזיר,זרזיר,975,normalized_unique_name,6
זרחיה,זרחיה,818,normalized_unique_name,1
ח'ואלד,ח ואלד,1321,normalized_unique_name,1
ח'ואלד (שבט),ח ואלד שבט,986,normalized_unique_name,1
חבצלת השרון,חבצלת השרון,235,normalized_unique_name,1
חבר,חבר,1110,normalized_unique_name,1
חברון,חברון,3400,normalized_unique_name,1
חגור,חגור,717,normalized_unique_name,1
חגי,חגי,3764,normalized_unique_name,1
חגלה,חגלה,205,normalized_unique_name,1
חד-נס,חד-נס,4026,normalized_unique_name,1
חדיד,חדיד,618,normalized_unique_name,1
חדרה,חדרה,6500,normalized_unique_name,95
חולדה,חולדה,160,normalized_unique_name,1
חולון,חולון,6600,normalized_unique_name,224
חולתה,חולתה,253,normalized_unique_name,1
חוסן,חוסן,662,normalized_unique_name,1
חוסנייה,חוסנייה,1332,normalized_unique_name,1
חופית,חופית,115,normalized_unique_name,1
חוקוק,חוקוק,374,normalized_unique_name,1
חורה,חורה,1303,normalized_unique_name,6
חורפיש,חורפיש,496,normalized_unique_name,5
חורשים,חורשים,355,normalized_unique_name,1
חזון,חזון,1047,normalized_unique_name,1
חיבת ציון,חיבת ציון,219,normalized_unique_name,1
חיננית,חיננית,3643,normalized_unique_name,1
חיפה,חיפה,4000,normalized_unique_name,375
חירות,חירות,162,normalized_unique_name,1
חלוץ,חלוץ,1272,normalized_unique_name,1
חלמיש,חלמיש,3573,normalized_unique_name,1
חלץ,חלץ,820,normalized_unique_name,1
חמאם,חמאם,993,normalized_unique_name,1
חמד,חמד,801,normalized_unique_name,1
חמדיה,חמדיה,343,normalized_unique_name,1
חמרה,חמרה,3609,normalized_unique_name,1
חניאל,חניאל,807,normalized_unique_name,1
חניתה,חניתה,280,normalized_unique_name,1
חספין,חספין,4005,normalized_unique_name,1
חפץ חיים,חפץ חיים,363,normalized_unique_name,1
חפצי-בה,חפצי-בה,90,normalized_unique_name,1
חצב,חצב,700,normalized_unique_name,1
חצבה,חצבה,13,normalized_unique_name,1
חצור הגלילית,חצור הגלילית,2034,normalized_unique_name,9
חצור-אשדוד,חצור-אשדוד,406,normalized_unique_name,1
חצרים,חצרים,397,normalized_unique_name,1
חרב לאת,חרב לאת,422,normalized_unique_name,1
חרוצים,חרוצים,1024,normalized_unique_name,1
חרמש,חרמש,3717,normalized_unique_name,1
חרשים,חרשים,1209,normalized_unique_name,1
חשמונאים,חשמונאים,3770,normalized_unique_name,2
טבריה,טבריה,6700,normalized_unique_name,49
טובא-זנגריה,טובא-זנגריה,962,normalized_unique_name,4
טורעאן,טורעאן,498,normalized_unique_name,8
טייבה,טייבה,2730,normalized_unique_name,31
טייבה (בעמק),טייבה בעמק,497,normalized_unique_name,1
טירה,טירה,2720,normalized_unique_name,18
טירת יהודה,טירת יהודה,663,normalized_unique_name,1
טירת כרמל,טירת כרמל,2100,normalized_unique_name,24
טירת צבי,טירת צבי,268,normalized_unique_name,1
טל שחר,טל שחר,462,normalized_unique_name,1
טל-אל,טל-אל,1181,normalized_unique_name,1
טללים,טללים,1177,normalized_unique_name,1
טלמון,טלמון,3788,normalized_unique_name,1
טמרה,טמרה,8900,normalized_unique_name,24
טמרה (יזרעאל),טמרה יזרעאל,547,normalized_unique_name,1
טנא,טנא,3743,normalized_unique_name,1
טפחות,טפחות,1214,normalized_unique_name,1
יאנוח-ג'ת,יאנוח-ג ת,1295,normalized_unique_name,5
יבול,יבול,1232,normalized_unique_name,1
יבנאל,יבנאל,46,normalized_unique_name,3
יבנה,יבנה,2660,normalized_unique_name,36
יגור,יגור,96,normalized_unique_name,2
יגל,יגל,798,normalized_unique_name,1
יד בנימין,יד בנימין,577,normalized_unique_name,1
יד חנה,יד חנה,758,normalized_unique_name,1
יד מרדכי,יד מרדכי,358,normalized_unique_name,1
יד נתן,יד נתן,775,normalized_unique_name,1
"יד רמב""ם",יד רמב ם,64,normalized_unique_name,1
יהוד-נווה אפרים,יהוד-נווה אפרים,9400,manual_alias,33
יהל,יהל,1158,normalized_unique_name,1
יובל,יובל,2009,normalized_unique_name,1
יובלים,יובלים,1226,normalized_unique_name,1
יודפת,יודפת,1112,normalized_unique_name,1
יונתן,יונתן,4007,normalized_unique_name,1
יושיביה,יושיביה,803,normalized_unique_name,1
יזרעאל,יזרעאל,452,normalized_unique_name,1
יחיעם,יחיעם,409,normalized_unique_name,1
יטבתה,יטבתה,866,normalized_unique_name,1
"ייט""ב",ייט ב,3607,normalized_unique_name,1
יכיני,יכיני,811,normalized_unique_name,1
ינוב,ינוב,753,normalized_unique_name,1
ינון,ינון,2011,normalized_unique_name,1
יסוד המעלה,יסוד המעלה,29,normalized_unique_name,2
יסודות,יסודות,440,normalized_unique_name,1
יסעור,יסעור,575,normalized_unique_name,1
יעד,יעד,1138,normalized_unique_name,1
יערה,יערה,795,normalized_unique_name,1
יפיע,יפיע,499,normalized_unique_name,13
יפית,יפית,3566,normalized_unique_name,1
יפעת,יפעת,134,normalized_unique_name,1
יפתח,יפתח,453,normalized_unique_name,1
יצהר,יצהר,3749,normalized_unique_name,1
יציץ,יציץ,759,normalized_unique_name,1
יקום,יקום,417,normalized_unique_name,1
יקיר,יקיר,3647,normalized_unique_name,1
יקנעם (מושבה),יקנעם מושבה,241,normalized_unique_name,1
יקנעם עילית,יקנעם עילית,240,normalized_unique_name,21
יראון,יראון,623,normalized_unique_name,1
ירדנה,ירדנה,2026,normalized_unique_name,1
ירוחם,ירוחם,831,normalized_unique_name,10
ירושלים,ירושלים,3000,normalized_unique_name,551
ירחיב,ירחיב,718,normalized_unique_name,1
ירכא,ירכא,502,normalized_unique_name,9
ירקונה,ירקונה,183,normalized_unique_name,1
ישע,ישע,916,normalized_unique_name,1
ישעי,ישעי,805,normalized_unique_name,1
ישרש,ישרש,828,normalized_unique_name,1
יתד,יתד,1227,normalized_unique_name,1
כאבול,כאבול,504,normalized_unique_name,9
כאוכב אבו אל-היג',כאוכב אבו אל-היג,505,normalized_unique_name,3
כברי,כברי,576,normalized_unique_name,1
כוכב השחר,כוכב השחר,3564,normalized_unique_name,1
כוכב יאיר,כוכב יאיר,1224,normalized_unique_name,10
כוכב יעקב,כוכב יעקב,3779,normalized_unique_name,4
כוכב מיכאל,כוכב מיכאל,824,normalized_unique_name,1
כורזים,כורזים,1252,normalized_unique_name,1
כחל,כחל,1210,normalized_unique_name,1
כיסופים,כיסופים,840,normalized_unique_name,1
כליל,כליל,1183,normalized_unique_name,1
כלנית,כלנית,1229,normalized_unique_name,1
כמאנה,כמאנה,1331,normalized_unique_name,1
כמון,כמון,1201,normalized_unique_name,1
כנף,כנף,4028,normalized_unique_name,1
כנרת (מושבה),כנרת מושבה,63,normalized_unique_name,1
כנרת (קבוצה),כנרת קבוצה,57,normalized_unique_name,1
כסיפה,כסיפה,1059,normalized_unique_name,8
כסלון,כסלון,859,normalized_unique_name,1
כסרא-סמיע,כסרא-סמיע,1296,normalized_unique_name,5
כעביה-טבאש-חג'אג',כעביה-טבאש-חג אג,978,normalized_unique_name,4
כפר אביב,כפר אביב,857,normalized_unique_name,1
כפר אדומים,כפר אדומים,3638,normalized_unique_name,2
כפר אוריה,כפר אוריה,364,normalized_unique_name,1
"כפר אז""ר",כפר אז ר,180,normalized_unique_name,1
כפר אחים,כפר אחים,690,normalized_unique_name,1
כפר ביאליק,כפר ביאליק,220,normalized_unique_name,1
"כפר ביל""ו",כפר ביל ו,177,normalized_unique_name,1
כפר בלום,כפר בלום,357,normalized_unique_name,1
כפר בן נון,כפר בן נון,2010,normalized_unique_name,1
כפר ברא,כפר ברא,633,normalized_unique_name,2
כפר ברוך,כפר ברוך,132,normalized_unique_name,1
כפר גדעון,כפר גדעון,106,normalized_unique_name,1
כפר גלים,כפר גלים,427,normalized_unique_name,1
כפר גליקסון,כפר גליקסון,310,normalized_unique_name,1
כפר גלעדי,כפר גלעדי,76,normalized_unique_name,1
כפר דניאל,כפר דניאל,707,normalized_unique_name,1
כפר האורנים,כפר האורנים,3796,normalized_unique_name,2
כפר החורש,כפר החורש,192,normalized_unique_name,1
כפר המכבי,כפר המכבי,254,normalized_unique_name,1
כפר הנגיד,כפר הנגיד,582,normalized_unique_name,1
כפר הנוער הדתי,כפר הנוער הדתי,890,normalized_unique_name,1
כפר הנשיא,כפר הנשיא,443,normalized_unique_name,1
כפר הס,כפר הס,187,normalized_unique_name,1
"כפר הרא""ה",כפר הרא ה,217,normalized_unique_name,1
"כפר הרי""ף",כפר הרי ף,888,normalized_unique_name,1
כפר ויתקין,כפר ויתקין,190,normalized_unique_name,2
כפר ורבורג,כפר ורבורג,320,normalized_unique_name,1
כפר ורדים,כפר ורדים,1263,normalized_unique_name,7
כפר זיתים,כפר זיתים,786,normalized_unique_name,1
"כפר חב""ד",כפר חב ד,696,normalized_unique_name,4
כפר חושן,כפר חושן,609,normalized_unique_name,1
כפר חיטים,כפר חיטים,255,normalized_unique_name,1
כפר חיים,כפר חיים,193,normalized_unique_name,1
כפר חנניה,כפר חנניה,1297,normalized_unique_name,1
כפר חסידים א',כפר חסידים א,112,normalized_unique_name,1
כפר חסידים ב',כפר חסידים ב,889,normalized_unique_name,1
כפר חרוב,כפר חרוב,4004,normalized_unique_name,1
